county_fips,ai_intensity_sum,lisa_pvalue,moran_i,cluster_code,cluster_type
53065,0.0,0.476,0.03424784674840618,0,Not Significant
19177,0.0,0.001,0.06961036934581397,3,LH
31073,0.0,0.466,0.06961036934581397,0,Not Significant
28095,0.0,0.001,0.06961036934581397,3,LH
12033,0.0,0.435,0.06961036934581397,0,Not Significant
48439,19.0,0.034,4.551394078889634,1,HH
24033,9.0,0.125,0.5850711399127346,0,Not Significant
51169,0.0,0.001,0.06961036934581397,3,LH
48239,0.0,0.323,0.06961036934581397,0,Not Significant
40085,0.0,0.36,0.05782286181334471,0,Not Significant
13289,0.0,0.459,0.04603535428087544,0,Not Significant
39099,0.0,0.091,-0.10720224364122498,0,Not Significant
01087,0.0,0.482,0.034247846748406176,0,Not Significant
17191,0.0,0.001,0.06961036934581397,3,LH
48437,0.0,0.222,-0.024689690913940132,0,Not Significant
29151,0.0,0.323,0.06961036934581397,0,Not Significant
17089,4.0,0.008,2.083785695662586,1,HH
06017,1.0,0.088,0.002056394804831318,0,Not Significant
45055,0.0,0.001,0.06961036934581397,3,LH
37073,0.0,0.388,0.008988902035972048,0,Not Significant
08089,0.0,0.27,-0.0011146758490016154,0,Not Significant
41019,0.0,0.222,-0.024689690913940132,0,Not Significant
42089,0.0,0.153,-0.05415845974511328,0,Not Significant
05101,0.0,0.324,0.06961036934581397,0,Not Significant
38019,0.0,0.465,0.06961036934581397,0,Not Significant
40103,0.0,0.468,0.02246033921593692,0,Not Significant
20063,0.0,0.495,0.025407216099054237,0,Not Significant
22077,0.0,0.364,0.008988902035972043,0,Not Significant
31067,1.0,0.001,-0.0011146758490015996,4,HL
01115,0.0,0.335,0.010672831683467651,0,Not Significant
28123,0.0,0.324,0.06961036934581397,0,Not Significant
13095,0.0,0.324,0.06961036934581397,0,Not Significant
18061,0.0,0.468,0.02246033921593692,0,Not Significant
16017,0.0,0.39,0.04940321357586665,0,Not Significant
13047,0.0,0.379,0.04603535428087544,0,Not Significant
22059,0.0,0.459,0.04603535428087544,0,Not Significant
23027,0.0,0.022,-0.2840148566282639,2,LL
24027,0.0,0.046,-0.20150230390097906,2,LL
49035,25.0,0.022,6.930055317042265,1,HH
12087,10.0,0.007,8.108343815091839,1,HH
39157,4.0,0.288,0.003415425085045474,0,Not Significant
09110,6.0,0.021,1.3958733597133557,1,HH
09120,8.0,0.008,5.553436226568927,1,HH
09130,0.0,0.004,-0.9912653085764197,2,LL
09140,0.0,0.021,-0.3547399018230796,2,LL
09150,0.0,0.021,-0.27391127874329024,2,LL
09160,3.0,0.044,0.4126846204403386,1,HH
09170,8.0,0.01,4.444338086458959,1,HH
09180,11.0,0.011,5.912950583757264,1,HH
09190,5.0,0.001,3.1065981249968844,1,HH
36085,5.0,0.004,3.274926429049196,1,HH
39071,0.0,0.326,0.06961036934581397,0,Not Significant
27077,0.0,0.436,0.06961036934581397,0,Not Significant
16011,0.0,0.495,0.029196057805919346,0,Not Significant
45045,0.0,0.217,0.06961036934581397,0,Not Significant
46085,0.0,0.001,0.069610369345814,3,LH
55121,0.0,0.385,0.06961036934581397,0,Not Significant
06113,0.0,0.059,-0.15435227377110203,0,Not Significant
48431,0.0,0.461,0.04603535428087544,0,Not Significant
48495,0.0,0.374,0.013030333189961506,0,Not Significant
46071,0.0,0.001,0.06961036934581397,3,LH
49041,5.0,0.099,0.4373921607387889,0,Not Significant
51036,0.0,0.459,0.04603535428087544,0,Not Significant
01023,0.0,0.001,0.06961036934581397,3,LH
18083,0.0,0.217,0.06961036934581397,0,Not Significant
31047,0.0,0.325,0.06961036934581397,0,Not Significant
20057,0.0,0.38,0.0578228618133447,0,Not Significant
38105,0.0,0.001,0.06961036934581397,3,LH
38017,1.0,0.318,-0.0009528865299284914,0,Not Significant
17069,0.0,0.324,0.06961036934581397,0,Not Significant
31005,0.0,0.384,0.05546536030685086,0,Not Significant
48163,0.0,0.324,0.06961036934581397,0,Not Significant
19103,2.0,0.399,-0.04055825147445756,0,Not Significant
20133,0.0,0.001,0.06961036934581397,3,LH
21089,0.0,0.383,0.06961036934581397,0,Not Significant
20107,0.0,0.394,0.008988902035972048,0,Not Significant
49017,5.0,0.348,-0.04354585083924629,0,Not Significant
32011,0.0,0.465,0.06961036934581397,0,Not Significant
31085,0.0,0.324,0.06961036934581397,0,Not Significant
08095,0.0,0.384,0.06961036934581397,0,Not Significant
05013,0.0,0.384,0.06961036934581397,0,Not Significant
21101,3.0,0.454,-0.03910214760279958,0,Not Significant
28051,0.0,0.326,0.06961036934581397,0,Not Significant
28105,0.0,0.326,0.06961036934581397,0,Not Significant
30027,0.0,0.218,0.06961036934581397,0,Not Significant
24023,0.0,0.371,0.010672831683467656,0,Not Significant
22119,0.0,0.386,0.06961036934581397,0,Not Significant
26059,0.0,0.249,-0.021321831618948926,0,Not Significant
21141,0.0,0.326,0.06961036934581397,0,Not Significant
46033,0.0,0.386,0.06961036934581397,0,Not Significant
33013,0.0,0.253,-0.012902183381470879,0,Not Significant
42133,9.0,0.032,1.9839114980873371,1,HH
37161,0.0,0.4,0.03424784674840619,0,Not Significant
46005,0.0,0.326,0.06961036934581397,0,Not Significant
01043,0.0,0.326,0.06961036934581397,0,Not Significant
13097,5.0,0.011,2.601613212839947,1,HH
